no.,state,county,city,parcelNumber,propertyNumber,propertyClass,civicNumber,streetName,postalCode,yearOfConstructionMin,yearOfConstructionMax,yearOfConstruction,age,occupancy,description,style,finishAreaSqft,sizeSqft,crawlArea,slabArea,atticArea,bsmtArea,wallType,wallHeight,heatingArea,acArea,numOfFloors,buildingHeightAverage,numOfUnits,grossFloorArea,assessmentYear,buildingAssessedValueTotal,medianIncome,priceIncomeRatio,constructionType,heatType,numOfBedrooms,numOfLivingRooms,numOfDiningRooms,numOfFamilyRooms,numOfRoomsTotal,numOfFullBathTF,numOfHalfBathTF,numOfKitchenSinkTF,numOfWaterheatersTF,roofing,wallFinish,floorFinish,hasGarage,numOfGarage,garageType,garageAverageArea,garageConstructionSystem,hasDeck,deckConstructionType,deckAverageArea,hasPatio,patioConstructionType,patioAverageArea,hasBarn,barnConstructionType,barnAverageArea,hasShed,shedConstructionType,shedAverageArea,Link to Property Card,Archetype,Archetype_Name
50.0,IN,Sullivan,Sullivan,77-10-03-222-049.000-012,12.12.00.001047,1 Family Dwell - Platted Lot,722.0,S Main St,47882.0,1945,2010,1945,77,Single-Family,Single-Family 1,CAPE COD,1026,2079,675,,702.0,351.0,,,No,1:1026 A:702,1.0,,1.0,2079,2022.0,35300.0,,,Wood Frame,,4.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,,204,,No,,,No,,,No,,,Yes,Utility Shed 1,64,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
63.0,IN ,Sullivan,Sullivan,77-10-03-112-003.000-011,11.11.00.000724,1 Family Dwell - Platted Lot,51.0,S Co Rd 50 E,47882.0,1973,1973,1973,49,Single-Family,Single-Family 1,RANCH,1650,1650,1650,,,,,,No,,1.0,,1.0,1650,2022.0,100200.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,attached,576,,No,,,No,,,No,,,No,,,Property Card,3,Large Older or Mixed-Use Buildings
74.0,IN,Sullivan,Sullivan,77-10-03-222-032.000-012,12.12.00.002908,1 Family Dwell - Platted Lot,801.0,S Main St,47882.0,1937,1950,1937,72,Single-Family,Single-Family 1,BUNGALOW,936,1170,702,,,234.0,,,No,,1.0,,1.0,,2022.0,36200.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached,400,Concrete Block,No,,,No,,,No,,,Yes,,384,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
70.0,IN ,Sullivan,Sullivan,77-10-03-222-052.000-012,12.12.00.001111,1 Family Dwell - Platted Lot,802.0,S Main St,47882.0,1940,1992,1940,72,Single-Family,Single-Family 1,BUNGALOW,902,1318,486,,,416.0,,,,,1.0,,1.0,1318,2022.0,34000.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,7.0,3.0,2.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached,576,Wood Frame,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
77.0,IN,Sullivan,Sullivan,77-10-03-222-029.000-012,12.12.00.002927,1 Family Dwell - Platted Lot,811.0,S Main St,47882.0,1920,1930,1920,92,Single-Family, Single-Family 1,CONVERSION,1968,2952,,,,984.0,,,No,,2.0,,1.0,,2022.0,23100.0,,,Wood Frame,Central Warm Air,3.0,0.0,0.0,1.0,10.0,6.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached,196, Wood Frame,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
31.0,IN,Sullivan,Sullivan,77-10-03-222-064.001-012,12.12.00.003001,"Exempt, Charitable Organization",711.0,S Section St,47882.0,1945,1984,1945,77,C/I Building,C/I Building,,5660,3296,,,,,"1: 1(34'),2(302')",,No,,1.0,,,5660,2022.0,84500.0,,,Concrete,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,Yes,,484,Property Card,0,Small Old Single-Family Homes
34.0,IN,Sullivan,Sullivan,77-10-03-222-069.000-012,12.12.00.001119,1 Family Dwell - Platted Lot,735.0,S Section St,47882.0,1927,1974,1927,72,Single-Family,Single-Family 1,BUNGALOW,1635,3270,,,,1635.0,,,No,1635,1.0,,1.0,1635,2022.0,47900.0,,,Wood Frame,,2.0,0.0,0.0,1.0,6.0,2.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,Yes,Concrete,109,No,,,Yes,,100,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
12.0,IN,Sullivan,Sullivan,77-10-03-222-035.000-012,12.12.00.001243,1 Family Dwell - Platted Lot,719.0,S Main St,47882.0,1955,2008,1955,67,Single-Family,Single-Family 1,TRI-LEVEL,1620,1620,1620,,,,,,No,1620,1.0,,1.0,1620,2022.0,45100.0,,,Wood Frame,Central Warm Air,3.0,1.0,1.0,0.0,8.0,1.0,0.0,1.0,1.0,Metal,,,Yes,1.0,detached,576,Wood Frame,Yes,Wood,200,No,,,No,,,Yes,,"196, 144",Property Card,3,Large Older or Mixed-Use Buildings
67.0,IN ,Sullivan,Sullivan,77-10-03-222-068.001-012,12.12.00.003317,1 Family Dwell - Platted Lot,,Section St,47882.0,1950,1990,1950,72,Single-Family,Single-Family 1,OTHER,2568,2568,,2568.0,,,,,,,1.0,,1.0,2568,2022.0,70200.0,,,Wood Frame,Central Warm Air,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,,,,No,0.0,,,,No,,,Yes,,210,No,,,Yes,,340,Property Card,0,Small Old Single-Family Homes
68.0,IN ,Sullivan,Sullivan,77-10-03-222-068.000-012,12.12.00.000913,1 Family Dwell - Platted Lot,833.0,S Section St,47882.0,1935,1975,1935,77,Single-Family,Single-Family 1,BUNGALOW,1071,1071,1071,,,,,,,,1.0,,1.0,1071,2022.0,35400.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,6.0,3.0,0.0,1.0,1.0,Asphalt,,,Yes,1.0,Detached,576,Concrete Block,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
32.0,IN,Sullivan,Sullivan,77-10-03-222-065.000-012,12.12.00.001210,Other Retail Structures,,S Section St,47882.0,1980,1980,1980,42,C/I Building,C/I Building,,2100,2100,,,,,1: 2(260'),9',2100,2100,1.0,,0.0,2100,2022.0,79800.0,,,Brick,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,No,,,No,,,Property Card,0,Small Old Single-Family Homes
76.0,IN ,Sullivan,Sullivan,77-10-03-222-030.000-012,12.12.00.001652,1 Family Dwell - Platted Lot,809.0,S Main St,47882.0,1930,1940,1930,82, Single-Family, Single-Family 1,BUNGALOW,966,966,966,,,,,,No,,1.0,,1.0,,2022.0,19400.0,,,Wood Frame,Central Warm Air,2.0,0.0,0.0,0.0,5.0,3.0,0.0,1.0,1.0,Asphalt,,,No,,,,,No,,,No,,,No,,,No,,,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
10.0,IN,Sullivan,Sullivan,77-10-03-222-037.000-012,12.12.00.001062,1 Family Dwell - Platted Lot,715.0,S Main St,47882.0,1940,2018,1940,72,Single-Family,Single-Family 1,BUNGALOW,914,1828,,,,914.0,,,No,914,1.0,,1.0,914,2022.0,29900.0,,,Wood Frame,Central Warm Air,1.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,1.0,Asphalt,,,No,0.0,,,,No,,,No,,,No,,,Yes,,96,Property Card,1,Medium-Sized Post-1980 Single-Family Homes
69.0,IN ,Sullivan,Sullivan,77-10-03-222-056.000-012,12.12.00.000805,Other Retail Structures,809.0,S Court St,47882.0,1950,1950,1950,72,C/I Building,C/I Building,,3512,3512,,,,,1:2 (374'),12' 9' 14' 10',3512,2644,1.0,,0.0,3512,2022.0,61300.0,,,Brick,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,No,0.0,,,,No,,,No,,,Yes,T31SO,18' x 40' x 14',Yes,,308,Property Card,0,Small Old Single-Family Homes
